Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4180255.47,129956.69,430182.90,1617,0,1751,0,3433,0,306,0,26,0.7889083814216431,2700
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11119210.54,201724.87,80360.00,2485,0,641,0,5868,0,870,0,40,0.8937318143189668,8412
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,363592.08,6598.31,4790.00,142,0,90,0,462,0,62,0,7,0.8862798126023566,492
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,4055773.14,2238847.67,2486682.00,1665,0,509,0,3858,0,754,0,19,0.9743213654150705,7344
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4313987.19,1060647.10,1775595.00,1442,0,946,0,2714,0,483,0,36,0.5165268297412396,5568
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,4876202.02,1235792.93,2779075.00,1531,0,559,0,3970,0,724,0,22,0.9453749979307904,5616
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1191276.94,880692.97,338938.05,682,0,509,0,1732,0,293,0,22,0.9227904177681313,2304
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,945872.20,775442.52,501427.31,614,0,252,0,1515,0,329,0,24,0.9560856823633817,2484
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1993312.84,352425.05,325021.28,550,0,349,0,1172,0,156,0,20,0.8374726035097716,1476
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,12524318.32,0.00,0,3826,0,1309,0,8735,0,1450,41,1.0157834361893094,13716
